Distance_to_Zone_km,Recent_Elephant_Count,Time_of_Day,Weather,Risk_Level
8.47,0,Morning,Clear,LOW
3.94,2,Morning,Clear,MEDIUM
6.74,2,Afternoon,Heavy Rain,MEDIUM
7.06,19,Afternoon,Light Rain,MEDIUM
8.31,24,Afternoon,Light Rain,LOW
6.05,0,Night,Light Rain,LOW
8.28,20,Night,Heavy Rain,LOW
14.41,0,Dusk,Light Rain,LOW
10.54,7,Night,Heavy Rain,LOW
4.74,10,Night,Heavy Rain,HIGH
0.87,10,Night,Light Rain,CRITICAL
7.28,22,Morning,Heavy Rain,MEDIUM
13.65,22,Dusk,Heavy Rain,LOW
3.17,24,Afternoon,Heavy Rain,CRITICAL
1.93,8,Morning,Heavy Rain,HIGH
9.06,19,Night,Clear,LOW
12.96,4,Afternoon,Light Rain,LOW
14.66,22,Night,Clear,LOW
6.79,16,Dusk,Clear,MEDIUM
0.88,7,Afternoon,Light Rain,HIGH
7.08,25,Morning,Light Rain,MEDIUM
1.47,2,Night,Light Rain,HIGH
2.01,22,Dusk,Light Rain,CRITICAL
4.38,13,Morning,Heavy Rain,MEDIUM
10.35,5,Afternoon,Heavy Rain,LOW
12.07,15,Night,Light Rain,LOW
9.09,0,Morning,Light Rain,LOW
5.9,9,Dusk,Light Rain,MEDIUM
12.93,5,Night,Light Rain,LOW
4.99,23,Night,Clear,HIGH
4.48,17,Night,Light Rain,HIGH
8.39,13,Night,Clear,LOW
2.18,1,Afternoon,Light Rain,MEDIUM
4.7,18,Night,Light Rain,HIGH
4.32,2,Afternoon,Clear,LOW
6.49,19,Dusk,Heavy Rain,MEDIUM
11.47,8,Dusk,Clear,LOW
8.7,12,Morning,Light Rain,LOW
4.33,7,Dusk,Light Rain,HIGH
13.82,25,Afternoon,Clear,LOW
9.45,21,Night,Heavy Rain,LOW
10.55,25,Morning,Light Rain,LOW
0.21,13,Morning,Heavy Rain,CRITICAL
2.83,10,Night,Clear,HIGH
7.3,10,Afternoon,Light Rain,MEDIUM
2.79,14,Afternoon,Clear,CRITICAL
10.92,13,Night,Clear,LOW
10.2,10,Night,Heavy Rain,LOW
0.3,19,Night,Clear,CRITICAL
11.14,11,Morning,Light Rain,LOW
6.3,1,Night,Heavy Rain,MEDIUM
13.89,13,Morning,Heavy Rain,LOW
13.1,19,Morning,Heavy Rain,LOW
13.43,21,Dusk,Heavy Rain,LOW
13.24,10,Morning,Heavy Rain,LOW
5.24,4,Night,Light Rain,MEDIUM
2.52,20,Night,Heavy Rain,CRITICAL
14.3,10,Dusk,Heavy Rain,LOW
3.43,18,Morning,Light Rain,CRITICAL
12.45,5,Afternoon,Clear,LOW
6.96,14,Night,Heavy Rain,MEDIUM
5.13,3,Night,Light Rain,MEDIUM
3.35,23,Afternoon,Light Rain,CRITICAL
3.88,18,Night,Light Rain,MEDIUM
13.08,4,Morning,Heavy Rain,LOW
14.85,7,Dusk,Heavy Rain,LOW
7.3,14,Afternoon,Clear,MEDIUM
13.55,12,Night,Heavy Rain,LOW
4.38,13,Afternoon,Light Rain,MEDIUM
6.66,18,Morning,Clear,MEDIUM
13.0,23,Dusk,Heavy Rain,LOW
11.71,22,Afternoon,Light Rain,HIGH
6.21,14,Dusk,Light Rain,MEDIUM
13.81,18,Night,Light Rain,HIGH
5.04,7,Dusk,Light Rain,MEDIUM
7.5,15,Afternoon,Light Rain,MEDIUM
2.48,5,Dusk,Clear,HIGH
5.91,18,Afternoon,Light Rain,MEDIUM
4.78,21,Morning,Light Rain,MEDIUM
4.93,7,Night,Heavy Rain,HIGH
4.03,21,Dusk,Heavy Rain,HIGH
10.22,2,Afternoon,Heavy Rain,CRITICAL
6.99,17,Dusk,Light Rain,MEDIUM
9.17,12,Afternoon,Heavy Rain,LOW
9.87,7,Afternoon,Clear,LOW
8.76,16,Morning,Heavy Rain,LOW
5.25,1,Morning,Clear,MEDIUM
6.32,12,Morning,Heavy Rain,MEDIUM
6.51,10,Afternoon,Clear,MEDIUM
7.75,9,Afternoon,Heavy Rain,MEDIUM
6.4,22,Dusk,Light Rain,MEDIUM
5.89,25,Dusk,Light Rain,MEDIUM
14.08,25,Afternoon,Light Rain,LOW
2.87,1,Afternoon,Heavy Rain,HIGH
0.12,9,Morning,Light Rain,MEDIUM
12.75,20,Morning,Heavy Rain,LOW
1.87,19,Afternoon,Light Rain,MEDIUM
12.17,10,Night,Heavy Rain,LOW
12.42,6,Night,Heavy Rain,LOW
13.41,2,Morning,Clear,LOW
11.34,20,Dusk,Light Rain,LOW
8.64,1,Night,Light Rain,LOW
0.59,17,Night,Clear,CRITICAL
2.81,20,Dusk,Light Rain,HIGH
3.93,2,Dusk,Clear,HIGH
13.35,10,Night,Light Rain,LOW
4.69,6,Night,Heavy Rain,HIGH
7.49,3,Night,Clear,MEDIUM
5.32,4,Dusk,Clear,MEDIUM
11.03,11,Night,Light Rain,LOW
10.76,15,Night,Light Rain,LOW
3.75,11,Night,Clear,LOW
7.54,8,Morning,Heavy Rain,MEDIUM
3.87,24,Afternoon,Light Rain,CRITICAL
11.83,5,Morning,Clear,LOW
6.77,12,Night,Heavy Rain,MEDIUM
4.51,25,Dusk,Light Rain,HIGH
7.67,12,Morning,Heavy Rain,MEDIUM
13.47,5,Dusk,Clear,LOW
2.99,3,Night,Light Rain,HIGH
12.68,16,Afternoon,Clear,LOW
12.31,6,Afternoon,Light Rain,LOW
11.73,14,Dusk,Light Rain,LOW
6.8,25,Morning,Light Rain,MEDIUM
1.07,21,Afternoon,Heavy Rain,CRITICAL
7.95,13,Afternoon,Light Rain,MEDIUM
0.8,10,Dusk,Light Rain,CRITICAL
13.35,13,Dusk,Light Rain,LOW
2.42,8,Morning,Clear,HIGH
1.46,23,Night,Clear,CRITICAL
2.63,15,Morning,Heavy Rain,CRITICAL
3.77,12,Night,Heavy Rain,CRITICAL
10.75,8,Afternoon,Light Rain,LOW
9.07,18,Dusk,Light Rain,LOW
7.71,5,Dusk,Clear,MEDIUM
5.57,10,Afternoon,Heavy Rain,MEDIUM
9.77,19,Dusk,Heavy Rain,LOW
5.27,16,Dusk,Clear,MEDIUM
14.84,3,Morning,Heavy Rain,LOW
8.71,0,Afternoon,Light Rain,LOW
8.91,25,Dusk,Clear,LOW
11.7,20,Afternoon,Light Rain,LOW
10.46,6,Morning,Heavy Rain,LOW
10.99,18,Afternoon,Clear,LOW
9.5,0,Afternoon,Heavy Rain,LOW
2.67,7,Afternoon,Light Rain,HIGH
14.08,18,Afternoon,Light Rain,LOW
11.97,12,Night,Heavy Rain,LOW
13.01,25,Morning,Clear,LOW
9.69,15,Night,Light Rain,LOW
6.11,11,Morning,Clear,MEDIUM
6.5,25,Night,Clear,MEDIUM
2.26,9,Morning,Clear,HIGH
4.63,10,Night,Light Rain,LOW
14.78,24,Morning,Heavy Rain,LOW
13.12,22,Morning,Light Rain,LOW
10.02,16,Night,Light Rain,LOW
2.17,21,Dusk,Light Rain,CRITICAL
1.12,12,Dusk,Clear,CRITICAL
3.85,18,Night,Heavy Rain,CRITICAL
10.64,2,Dusk,Clear,LOW
5.18,13,Night,Light Rain,MEDIUM
7.2,24,Morning,Light Rain,MEDIUM
2.95,20,Night,Heavy Rain,CRITICAL
13.45,7,Afternoon,Clear,LOW
1.16,0,Morning,Heavy Rain,LOW
10.86,18,Night,Clear,LOW
1.58,1,Night,Heavy Rain,HIGH
6.01,19,Morning,Clear,MEDIUM
2.6,5,Morning,Heavy Rain,HIGH
11.88,9,Dusk,Clear,LOW
11.03,13,Dusk,Light Rain,LOW
10.46,18,Dusk,Clear,LOW
14.46,12,Dusk,Clear,LOW
13.34,20,Morning,Heavy Rain,LOW
6.38,4,Afternoon,Heavy Rain,MEDIUM
4.5,23,Morning,Heavy Rain,MEDIUM
3.74,5,Morning,Clear,MEDIUM
14.79,4,Afternoon,Heavy Rain,LOW
2.94,4,Night,Heavy Rain,HIGH
11.57,13,Afternoon,Clear,LOW
2.92,2,Afternoon,Light Rain,MEDIUM
9.91,18,Dusk,Heavy Rain,LOW
8.19,2,Dusk,Heavy Rain,LOW
5.83,6,Morning,Light Rain,MEDIUM
14.85,0,Afternoon,Clear,LOW
6.14,1,Morning,Light Rain,HIGH
13.93,3,Afternoon,Clear,LOW
12.82,22,Night,Heavy Rain,LOW
8.55,6,Morning,Clear,LOW
1.75,14,Afternoon,Light Rain,CRITICAL
0.77,8,Afternoon,Clear,HIGH
7.93,8,Afternoon,Light Rain,MEDIUM
11.02,7,Night,Heavy Rain,LOW
11.97,1,Morning,Clear,LOW
5.88,4,Morning,Heavy Rain,MEDIUM
12.12,23,Dusk,Light Rain,LOW
6.57,8,Morning,Clear,MEDIUM
14.54,5,Night,Heavy Rain,LOW
4.05,5,Night,Heavy Rain,HIGH
14.22,23,Afternoon,Light Rain,LOW
0.48,4,Morning,Clear,HIGH
11.0,3,Night,Heavy Rain,LOW
13.78,2,Dusk,Clear,LOW
3.1,24,Dusk,Clear,CRITICAL
5.66,13,Morning,Clear,MEDIUM
8.98,3,Morning,Heavy Rain,LOW
7.47,19,Afternoon,Heavy Rain,MEDIUM
12.06,23,Afternoon,Clear,LOW
7.09,0,Morning,Light Rain,LOW
1.61,16,Dusk,Light Rain,CRITICAL
9.53,20,Afternoon,Light Rain,LOW
0.55,13,Afternoon,Heavy Rain,CRITICAL
0.29,14,Morning,Light Rain,CRITICAL
4.83,21,Afternoon,Clear,MEDIUM
14.0,8,Night,Clear,LOW
12.94,16,Afternoon,Clear,LOW
10.37,12,Night,Heavy Rain,LOW
5.11,23,Morning,Clear,MEDIUM
11.13,25,Night,Heavy Rain,LOW
9.69,9,Afternoon,Heavy Rain,LOW
4.02,7,Dusk,Heavy Rain,HIGH
7.97,15,Dusk,Clear,MEDIUM
13.21,2,Night,Clear,LOW
9.12,11,Morning,Clear,LOW
5.33,0,Afternoon,Clear,LOW
14.44,8,Afternoon,Light Rain,LOW
8.4,21,Afternoon,Clear,LOW
3.93,13,Night,Light Rain,CRITICAL
7.44,7,Morning,Heavy Rain,MEDIUM
4.99,2,Afternoon,Light Rain,MEDIUM
3.75,9,Morning,Light Rain,MEDIUM
2.59,0,Dusk,Clear,HIGH
11.19,15,Dusk,Light Rain,LOW
6.89,16,Morning,Heavy Rain,MEDIUM
6.54,15,Night,Heavy Rain,MEDIUM
1.37,2,Night,Heavy Rain,HIGH
13.6,22,Dusk,Light Rain,LOW
1.83,15,Morning,Light Rain,CRITICAL
9.06,8,Morning,Clear,LOW
1.32,7,Afternoon,Heavy Rain,HIGH
1.53,10,Afternoon,Light Rain,HIGH
14.83,1,Afternoon,Heavy Rain,HIGH
7.98,6,Night,Clear,MEDIUM
6.5,24,Afternoon,Heavy Rain,MEDIUM
10.45,14,Morning,Heavy Rain,LOW
6.5,21,Night,Clear,MEDIUM
12.68,5,Dusk,Heavy Rain,LOW
2.63,6,Morning,Heavy Rain,HIGH
10.59,7,Afternoon,Clear,LOW
5.0,7,Night,Heavy Rain,MEDIUM
10.14,19,Afternoon,Heavy Rain,LOW
7.38,22,Dusk,Light Rain,MEDIUM
13.12,4,Afternoon,Light Rain,LOW
4.53,1,Morning,Clear,MEDIUM
0.27,21,Night,Clear,CRITICAL
1.41,15,Dusk,Clear,CRITICAL
14.51,4,Dusk,Clear,LOW
8.06,17,Dusk,Light Rain,LOW
1.89,23,Morning,Heavy Rain,CRITICAL
7.96,4,Afternoon,Clear,MEDIUM
1.45,9,Morning,Clear,HIGH
12.25,15,Morning,Light Rain,LOW
6.49,18,Afternoon,Clear,MEDIUM
5.54,14,Night,Heavy Rain,MEDIUM
14.86,24,Morning,Heavy Rain,LOW
14.67,18,Night,Heavy Rain,LOW
11.95,6,Afternoon,Heavy Rain,LOW
6.12,17,Morning,Light Rain,MEDIUM
0.63,17,Afternoon,Light Rain,CRITICAL
12.21,5,Night,Heavy Rain,LOW
2.37,0,Afternoon,Heavy Rain,LOW
12.91,17,Morning,Light Rain,LOW
13.83,23,Dusk,Heavy Rain,LOW
3.75,0,Night,Light Rain,HIGH
13.05,12,Afternoon,Light Rain,LOW
3.9,16,Dusk,Light Rain,CRITICAL
1.88,6,Morning,Heavy Rain,HIGH
5.59,11,Afternoon,Light Rain,MEDIUM
6.3,13,Afternoon,Light Rain,MEDIUM
5.53,22,Dusk,Heavy Rain,MEDIUM
6.15,2,Night,Light Rain,MEDIUM
13.6,6,Night,Clear,LOW
6.57,19,Morning,Clear,MEDIUM
1.09,4,Afternoon,Heavy Rain,HIGH
0.86,21,Morning,Light Rain,CRITICAL
6.44,13,Dusk,Light Rain,MEDIUM
3.7,17,Dusk,Heavy Rain,CRITICAL
11.02,19,Dusk,Clear,LOW
11.74,6,Night,Light Rain,LOW
4.83,17,Morning,Light Rain,MEDIUM
1.3,1,Dusk,Clear,HIGH
4.82,3,Afternoon,Light Rain,MEDIUM
2.48,22,Dusk,Clear,CRITICAL
8.84,24,Dusk,Light Rain,LOW
0.33,6,Night,Light Rain,CRITICAL
10.87,25,Dusk,Light Rain,LOW
11.68,13,Dusk,Heavy Rain,LOW
7.5,12,Afternoon,Clear,MEDIUM
7.04,3,Night,Heavy Rain,MEDIUM
6.63,11,Night,Light Rain,MEDIUM
10.12,10,Dusk,Light Rain,LOW
5.23,2,Morning,Light Rain,MEDIUM
7.37,1,Afternoon,Light Rain,MEDIUM
13.56,3,Morning,Clear,LOW
11.73,13,Night,Clear,LOW
5.29,21,Night,Light Rain,MEDIUM
6.02,9,Afternoon,Clear,MEDIUM
4.86,19,Night,Clear,HIGH
4.78,16,Morning,Clear,MEDIUM
1.46,11,Morning,Clear,CRITICAL
12.96,20,Morning,Light Rain,LOW
8.31,4,Night,Light Rain,LOW
13.38,23,Morning,Light Rain,LOW
10.05,15,Morning,Heavy Rain,LOW
5.94,21,Afternoon,Light Rain,MEDIUM
12.07,21,Night,Clear,LOW
5.4,16,Dusk,Heavy Rain,MEDIUM
13.43,23,Night,Clear,LOW
0.78,4,Morning,Clear,HIGH
5.34,18,Morning,Heavy Rain,MEDIUM
2.3,3,Afternoon,Heavy Rain,HIGH
8.83,12,Night,Clear,LOW
10.22,3,Afternoon,Heavy Rain,LOW
5.33,15,Night,Clear,MEDIUM
13.82,18,Night,Clear,LOW
1.77,20,Dusk,Heavy Rain,CRITICAL
2.36,11,Afternoon,Heavy Rain,CRITICAL
10.11,9,Afternoon,Heavy Rain,LOW
1.39,14,Dusk,Heavy Rain,CRITICAL
6.34,2,Morning,Light Rain,MEDIUM
4.11,9,Dusk,Heavy Rain,HIGH
0.89,18,Night,Clear,MEDIUM
3.08,17,Night,Clear,CRITICAL
1.29,11,Morning,Light Rain,CRITICAL
10.34,20,Afternoon,Light Rain,LOW
9.96,12,Night,Clear,LOW
6.31,4,Night,Heavy Rain,MEDIUM
11.1,10,Afternoon,Light Rain,LOW
0.37,10,Night,Light Rain,CRITICAL
3.48,10,Afternoon,Heavy Rain,MEDIUM
14.43,16,Morning,Clear,LOW
6.26,5,Night,Heavy Rain,MEDIUM
1.18,6,Morning,Clear,HIGH
3.51,7,Afternoon,Clear,MEDIUM
3.6,2,Dusk,Clear,HIGH
12.6,10,Afternoon,Clear,LOW
10.86,23,Dusk,Heavy Rain,LOW
14.95,23,Night,Heavy Rain,LOW
6.93,18,Morning,Heavy Rain,MEDIUM
2.81,9,Morning,Light Rain,HIGH
3.7,15,Morning,Clear,CRITICAL
12.79,3,Night,Clear,LOW
12.32,1,Morning,Heavy Rain,LOW
5.13,10,Afternoon,Clear,MEDIUM
5.84,23,Morning,Light Rain,MEDIUM
8.31,21,Night,Heavy Rain,LOW
9.82,13,Dusk,Heavy Rain,LOW
3.14,21,Dusk,Heavy Rain,CRITICAL
11.77,11,Night,Clear,LOW
9.72,25,Morning,Light Rain,LOW
7.56,21,Morning,Heavy Rain,MEDIUM
14.93,12,Night,Light Rain,LOW
8.87,0,Dusk,Clear,LOW
6.64,10,Afternoon,Light Rain,MEDIUM
10.1,9,Night,Clear,LOW
7.28,5,Night,Heavy Rain,MEDIUM
8.91,2,Morning,Heavy Rain,LOW
11.5,0,Afternoon,Clear,LOW
8.23,7,Night,Light Rain,LOW
13.81,9,Morning,Light Rain,LOW
12.83,21,Night,Clear,LOW
0.74,23,Afternoon,Clear,CRITICAL
14.08,25,Afternoon,Light Rain,LOW
13.97,25,Night,Clear,LOW
2.77,17,Dusk,Light Rain,CRITICAL
7.58,16,Dusk,Clear,MEDIUM
12.27,5,Night,Light Rain,LOW
10.58,6,Night,Clear,LOW
10.33,16,Dusk,Light Rain,LOW
10.73,1,Dusk,Light Rain,LOW
10.85,17,Morning,Clear,LOW
8.8,20,Morning,Light Rain,LOW
12.49,2,Afternoon,Clear,LOW
8.06,4,Night,Heavy Rain,LOW
2.1,1,Afternoon,Clear,MEDIUM
1.31,1,Dusk,Clear,HIGH
14.63,15,Night,Heavy Rain,LOW
9.74,25,Morning,Heavy Rain,LOW
6.14,18,Night,Light Rain,MEDIUM
12.7,9,Afternoon,Clear,LOW
3.2,13,Night,Heavy Rain,CRITICAL
14.33,25,Morning,Light Rain,LOW
3.78,16,Dusk,Light Rain,CRITICAL
11.93,8,Night,Heavy Rain,LOW
7.68,24,Morning,Heavy Rain,MEDIUM
11.75,17,Dusk,Heavy Rain,LOW
7.66,3,Morning,Light Rain,MEDIUM
9.63,25,Morning,Heavy Rain,LOW
9.13,16,Night,Light Rain,LOW
1.97,13,Afternoon,Clear,CRITICAL
4.52,20,Afternoon,Heavy Rain,MEDIUM
8.9,21,Morning,Heavy Rain,LOW
14.74,20,Morning,Clear,LOW
7.2,3,Morning,Light Rain,MEDIUM
5.3,2,Afternoon,Clear,MEDIUM
11.55,10,Night,Heavy Rain,MEDIUM
10.73,6,Night,Light Rain,LOW
2.2,3,Night,Clear,HIGH
0.79,23,Night,Heavy Rain,CRITICAL
13.79,23,Morning,Clear,LOW
11.48,2,Night,Light Rain,LOW
4.21,25,Morning,Clear,MEDIUM
12.43,20,Dusk,Clear,LOW
11.36,9,Morning,Clear,LOW
0.5,17,Afternoon,Clear,CRITICAL
14.05,20,Morning,Light Rain,LOW
3.18,12,Afternoon,Light Rain,CRITICAL
5.98,22,Morning,Light Rain,MEDIUM
14.91,20,Morning,Clear,LOW
8.48,22,Afternoon,Clear,MEDIUM
3.41,4,Dusk,Light Rain,HIGH
6.35,6,Dusk,Light Rain,MEDIUM
11.31,20,Dusk,Heavy Rain,LOW
5.38,2,Morning,Heavy Rain,MEDIUM
4.29,14,Morning,Heavy Rain,MEDIUM
10.92,1,Morning,Clear,LOW
0.18,19,Dusk,Clear,CRITICAL
9.37,3,Afternoon,Clear,LOW
3.28,6,Night,Heavy Rain,HIGH
7.65,25,Morning,Heavy Rain,MEDIUM
1.63,19,Night,Clear,CRITICAL
2.86,5,Morning,Light Rain,HIGH
7.22,19,Morning,Clear,MEDIUM
2.46,21,Dusk,Light Rain,CRITICAL
13.63,13,Night,Clear,LOW
9.44,12,Afternoon,Clear,LOW
8.05,21,Night,Heavy Rain,LOW
2.36,21,Night,Heavy Rain,CRITICAL
5.28,3,Morning,Light Rain,MEDIUM
3.38,5,Night,Heavy Rain,HIGH
8.95,20,Dusk,Heavy Rain,LOW
12.18,6,Night,Heavy Rain,LOW
5.08,18,Morning,Heavy Rain,MEDIUM
3.52,12,Night,Heavy Rain,CRITICAL
12.19,6,Night,Heavy Rain,LOW
2.86,22,Dusk,Heavy Rain,CRITICAL
0.55,19,Dusk,Light Rain,CRITICAL
12.67,9,Morning,Light Rain,LOW
7.3,17,Dusk,Clear,MEDIUM
11.37,0,Night,Clear,LOW
7.33,21,Dusk,Light Rain,MEDIUM
10.76,24,Afternoon,Clear,LOW
0.12,18,Afternoon,Heavy Rain,LOW
7.32,5,Night,Clear,MEDIUM
14.81,18,Dusk,Light Rain,HIGH
2.73,11,Morning,Light Rain,CRITICAL
2.47,2,Afternoon,Light Rain,MEDIUM
13.85,9,Morning,Light Rain,LOW
6.63,3,Morning,Heavy Rain,MEDIUM
14.83,6,Morning,Heavy Rain,LOW
4.1,23,Dusk,Clear,HIGH
4.53,9,Morning,Clear,MEDIUM
12.42,16,Night,Light Rain,LOW
8.22,14,Night,Light Rain,LOW
6.85,25,Dusk,Heavy Rain,MEDIUM
4.88,1,Morning,Light Rain,MEDIUM
4.39,0,Night,Clear,HIGH
2.13,3,Morning,Clear,HIGH
11.81,15,Night,Clear,LOW
7.14,13,Night,Light Rain,MEDIUM
2.08,3,Dusk,Heavy Rain,HIGH
4.55,3,Dusk,Light Rain,CRITICAL
9.69,18,Afternoon,Clear,LOW
14.87,12,Afternoon,Heavy Rain,LOW
8.33,19,Afternoon,Heavy Rain,LOW
14.62,2,Night,Clear,LOW
8.15,20,Dusk,Light Rain,LOW
8.65,18,Dusk,Light Rain,LOW
2.92,3,Dusk,Heavy Rain,HIGH
11.3,23,Dusk,Heavy Rain,LOW
6.01,1,Afternoon,Light Rain,MEDIUM
12.01,22,Afternoon,Clear,LOW
3.9,24,Afternoon,Clear,CRITICAL
5.82,14,Morning,Heavy Rain,MEDIUM
3.06,15,Afternoon,Clear,CRITICAL
7.02,18,Night,Light Rain,LOW
12.75,12,Dusk,Clear,LOW
5.33,13,Afternoon,Heavy Rain,MEDIUM
8.77,17,Afternoon,Light Rain,LOW
10.97,19,Night,Light Rain,LOW
6.65,14,Afternoon,Clear,MEDIUM
2.96,21,Morning,Heavy Rain,CRITICAL
6.14,2,Night,Clear,MEDIUM
3.2,6,Dusk,Clear,HIGH
4.54,8,Night,Clear,HIGH
3.65,24,Morning,Light Rain,CRITICAL
12.81,2,Afternoon,Light Rain,LOW
13.52,10,Morning,Clear,LOW
14.01,21,Dusk,Clear,LOW
12.21,23,Dusk,Clear,LOW
7.29,0,Dusk,Clear,LOW
7.22,15,Night,Heavy Rain,MEDIUM
10.36,14,Afternoon,Clear,LOW
10.85,23,Morning,Clear,LOW
4.69,9,Afternoon,Clear,MEDIUM
5.08,7,Dusk,Light Rain,MEDIUM
4.21,19,Night,Light Rain,HIGH
12.22,12,Night,Light Rain,LOW
4.27,6,Morning,Heavy Rain,MEDIUM
5.29,17,Morning,Heavy Rain,MEDIUM
9.91,0,Night,Clear,LOW
10.98,20,Morning,Clear,LOW
3.32,12,Dusk,Clear,CRITICAL
10.53,17,Night,Heavy Rain,LOW
13.4,23,Morning,Heavy Rain,LOW
8.86,6,Afternoon,Heavy Rain,LOW
2.98,9,Night,Heavy Rain,HIGH
14.95,11,Morning,Light Rain,LOW
3.54,8,Afternoon,Clear,MEDIUM
2.23,7,Morning,Light Rain,HIGH
5.28,15,Night,Clear,MEDIUM
11.1,0,Morning,Clear,LOW
5.38,8,Morning,Heavy Rain,MEDIUM
9.58,18,Dusk,Heavy Rain,LOW
1.49,5,Dusk,Heavy Rain,HIGH
7.48,21,Night,Heavy Rain,MEDIUM
7.55,23,Dusk,Heavy Rain,CRITICAL
11.67,5,Dusk,Heavy Rain,LOW
13.94,17,Dusk,Heavy Rain,LOW
5.68,1,Dusk,Light Rain,MEDIUM
14.65,19,Dusk,Light Rain,LOW
9.06,16,Afternoon,Clear,LOW
14.35,19,Afternoon,Heavy Rain,LOW
9.27,21,Dusk,Light Rain,LOW
2.77,2,Dusk,Heavy Rain,HIGH
8.12,17,Morning,Light Rain,LOW
1.77,24,Dusk,Light Rain,CRITICAL
11.33,17,Morning,Clear,LOW
10.88,9,Dusk,Clear,LOW
10.42,15,Night,Light Rain,LOW
2.87,25,Night,Light Rain,CRITICAL
8.67,19,Morning,Clear,LOW
11.64,24,Morning,Light Rain,LOW
0.44,13,Morning,Heavy Rain,CRITICAL
4.72,6,Night,Heavy Rain,HIGH
11.71,15,Morning,Light Rain,LOW
2.11,25,Night,Clear,CRITICAL
9.07,11,Dusk,Heavy Rain,MEDIUM
0.74,23,Dusk,Heavy Rain,CRITICAL
7.62,19,Night,Clear,MEDIUM
3.46,21,Morning,Heavy Rain,CRITICAL
11.82,12,Night,Clear,LOW
2.75,23,Dusk,Heavy Rain,CRITICAL
3.29,25,Morning,Clear,CRITICAL
8.76,23,Morning,Heavy Rain,LOW
2.1,18,Dusk,Light Rain,CRITICAL
1.45,18,Afternoon,Clear,CRITICAL
11.82,19,Dusk,Light Rain,LOW
14.59,10,Night,Heavy Rain,LOW
14.58,21,Morning,Light Rain,LOW
1.78,11,Morning,Clear,CRITICAL
1.71,14,Morning,Heavy Rain,CRITICAL
1.2,9,Morning,Light Rain,HIGH
13.84,2,Night,Light Rain,LOW
14.29,7,Dusk,Light Rain,LOW
6.49,12,Afternoon,Light Rain,MEDIUM
11.55,10,Dusk,Clear,LOW
2.67,14,Night,Clear,LOW
7.83,20,Dusk,Heavy Rain,MEDIUM
8.63,8,Afternoon,Clear,LOW
4.65,5,Morning,Clear,MEDIUM
9.16,1,Night,Light Rain,LOW
13.36,2,Dusk,Light Rain,LOW
13.41,15,Morning,Light Rain,LOW
10.93,23,Morning,Heavy Rain,LOW
7.56,21,Afternoon,Heavy Rain,MEDIUM
4.41,12,Dusk,Clear,HIGH
3.03,16,Morning,Clear,CRITICAL
9.79,14,Afternoon,Clear,LOW
1.58,5,Morning,Heavy Rain,HIGH
10.22,6,Morning,Light Rain,LOW
11.14,1,Night,Heavy Rain,LOW
5.66,18,Dusk,Light Rain,MEDIUM
4.79,13,Dusk,Heavy Rain,HIGH
1.65,8,Night,Clear,CRITICAL
13.5,8,Morning,Heavy Rain,LOW
12.57,17,Night,Clear,LOW
0.68,5,Night,Heavy Rain,HIGH
1.73,8,Afternoon,Light Rain,HIGH
14.57,21,Afternoon,Heavy Rain,LOW
10.42,4,Afternoon,Light Rain,LOW
13.69,16,Night,Light Rain,LOW
11.66,14,Dusk,Heavy Rain,LOW
7.73,11,Afternoon,Clear,MEDIUM
14.94,5,Dusk,Light Rain,LOW
13.14,13,Afternoon,Clear,LOW
5.56,21,Dusk,Light Rain,MEDIUM
2.38,21,Morning,Heavy Rain,CRITICAL
7.34,11,Afternoon,Light Rain,MEDIUM
9.81,1,Night,Clear,LOW
12.71,6,Night,Clear,LOW
0.72,1,Dusk,Heavy Rain,MEDIUM
2.0,10,Night,Heavy Rain,HIGH
11.34,18,Night,Heavy Rain,LOW
2.33,20,Dusk,Clear,CRITICAL
6.74,4,Morning,Light Rain,MEDIUM
11.29,1,Morning,Heavy Rain,LOW
11.45,4,Dusk,Light Rain,LOW
14.62,2,Morning,Heavy Rain,LOW
9.85,14,Afternoon,Heavy Rain,LOW
2.04,2,Night,Clear,HIGH
14.12,15,Morning,Clear,LOW
0.96,0,Afternoon,Light Rain,LOW
4.11,13,Morning,Heavy Rain,MEDIUM
4.86,3,Night,Clear,HIGH
10.91,7,Morning,Light Rain,LOW
12.26,10,Morning,Clear,LOW
3.95,2,Morning,Heavy Rain,MEDIUM
2.91,22,Dusk,Heavy Rain,CRITICAL
10.66,9,Afternoon,Light Rain,LOW
7.46,1,Dusk,Clear,MEDIUM
11.92,2,Dusk,Heavy Rain,LOW
1.09,5,Morning,Clear,HIGH
0.67,15,Afternoon,Light Rain,CRITICAL
10.52,11,Dusk,Clear,LOW
9.78,2,Night,Heavy Rain,LOW
4.56,23,Morning,Light Rain,MEDIUM
6.05,1,Afternoon,Heavy Rain,MEDIUM
12.84,2,Dusk,Heavy Rain,LOW
10.47,20,Afternoon,Light Rain,LOW
5.72,1,Morning,Heavy Rain,MEDIUM
7.12,6,Dusk,Light Rain,MEDIUM
5.67,13,Night,Light Rain,MEDIUM
11.11,25,Dusk,Heavy Rain,LOW
3.22,16,Dusk,Light Rain,CRITICAL
13.48,10,Afternoon,Heavy Rain,LOW
0.57,18,Night,Clear,CRITICAL
14.63,0,Night,Clear,LOW
7.89,0,Afternoon,Clear,LOW
